ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","T0","25-Jul-2025","1,402.90","1,402.90","1,402.90","1,402.90","1,402.90","1,391.70","1,402.90","2","2,805.80","2","1","50.00"
"RELIANCE","EQ","25-Jul-2025","1,402.90","1,398.90","1,401.00","1,384.10","1,392.40","1,391.70","1,394.22","1,18,54,722","16,52,80,44,233.50","2,37,018","86,29,824","72.80"
"RELIANCE","EQ","28-Jul-2025","1,391.70","1,392.30","1,407.80","1,385.00","1,387.10","1,387.60","1,394.17","77,48,361","10,80,25,52,328.10","1,98,421","49,03,748","63.29"
"RELIANCE","EQ","29-Jul-2025","1,387.60","1,383.00","1,420.20","1,383.00","1,416.60","1,417.10","1,402.99","1,07,50,072","15,08,22,11,933.30","1,87,813","71,78,436","66.78"
"RELIANCE","EQ","30-Jul-2025","1,417.10","1,418.10","1,423.30","1,401.30","1,409.70","1,410.10","1,411.50","72,09,849","10,17,67,19,970.80","1,67,311","39,30,581","54.52"
